*key;ru;en;fr
*tip_001;
	Хороший ход начинается с оценки своего состояния.;
	A good move starts with assessing your condition.;
	Un bon coup commence par l’évaluation de votre état.;
*tip_002;
	Использование предметов из рюкзака не отнимает ход.;
	Using items from your backpack does not consume a turn.
	L’utilisation des objets du sac à dos ne consomme pas de tour.
*tip_003;
	Следите за уровнем похоти! Некоторые сцены открываются только при определённом уровне похоти.;
	Keep an eye on your Lust level! Some scenes unlock only at certain Lust thresholds.;
	Surveillez votre niveau de Luxure ! Certaines scènes ne se débloquent qu’à un niveau précis.;
*tip_004;
	Некоторые предметы в начале могут казаться бесполезными, пока вы не научитесь правильно использовать их.;
	Some items may seem useless at first until you learn how to use them properly.;
	Certains objets peuvent sembler inutiles au début, jusqu’à ce que vous appreniez à les utiliser correctement.;
*tip_005;
	Некоторые задания имеют ограничение по времени выполнения — будьте внимательны.;
	Some quests have time limits — pay close attention.;
	Certaines quêtes ont une limite de temps — soyez attentif.;
*tip_006;
	Порой в простых диалогах могут быть скрыты подсказки к текущим заданиям.;
	Sometimes simple dialogues hide clues for your current quests.;
	Parfois, de simples dialogues dissimulent des indices pour vos quêtes en cours.;
*tip_007;
	Никогда не сдавайтесь, даже если ваш противник очень сильный.;
	Never give up, even if your opponent is very strong.;
	N’abandonnez jamais, même si votre adversaire est très puissant.;
*tip_008;
	Если не получается побеждать грубой силой, попробуйте побеждать лаской.;
	If brute force doesn’t work, try winning with tenderness.;
	Si la force brute ne fonctionne pas, essayez de vaincre avec douceur.;
*tip_009;
	Некоторые противники невосприимчивы к физическим атакам.;
	Some enemies are immune to physical attacks.;
	Certains ennemis sont immunisés contre les attaques physiques.;
